Saison;DateMatch;Journee;adversaire;lieu;joueur;Titulaire;Minutes;Buts;CartonJaune;CartonRouge
2020/21;2021-04-03;Phase de poules;Kaizer Chiefs;Extérieur;Z. El-Moutaraji;Tit.;90;;;
2020/21;2021-04-03;Phase de poules;Kaizer Chiefs;Extérieur;M. Babatunde;Tit.;46;;;
2020/21;2021-04-03;Phase de poules;Kaizer Chiefs;Extérieur;H. Asrir;Remp.;44;;;
2020/21;2021-04-03;Phase de poules;Kaizer Chiefs;Extérieur;M. Chrachem;Remp.;38;;;
2020/21;2021-04-03;Phase de poules;Kaizer Chiefs;Extérieur;B. Z. Guennon;Remp.;6;;;
2020/21;2021-04-10;Phase de poules;Petro Luanda;Domicile;A. R. Tagnaouti;Tit.;90;;;
2020/21;2021-04-10;Phase de poules;Petro Luanda;Domicile;A. El Amloud;Tit.;90;;;
2020/21;2021-04-10;Phase de poules;Petro Luanda;Domicile;A. Aboulfath;Tit.;90;;;
2020/21;2021-04-10;Phase de poules;Petro Luanda;Domicile;A. Dari;Tit.;90;;;
2020/21;2021-04-10;Phase de poules;Petro Luanda;Domicile;Y. Attiatallah;Tit.;90;;;
2020/21;2021-04-10;Phase de poules;Petro Luanda;Domicile;S. Saidi;Tit.;71;;;
2020/21;2021-04-10;Phase de poules;Petro Luanda;Domicile;Y. Jabrane;Tit.;90;;;
2020/21;2021-04-10;Phase de poules;Petro Luanda;Domicile;M. Ounajem;Tit.;70;1;;
2020/21;2021-04-10;Phase de poules;Petro Luanda;Domicile;W. El Karti;Tit.;89;1;;
2020/21;2021-04-10;Phase de poules;Petro Luanda;Domicile;M. Ellafi;Tit.;46;;;
2020/21;2021-04-10;Phase de poules;Petro Luanda;Domicile;A. El Hassouni;Tit.;81;;;
2020/21;2021-04-10;Phase de poules;Petro Luanda;Domicile;A. Serrhat;Remp.;1;;;
2020/21;2021-04-10;Phase de poules;Petro Luanda;Domicile;Z. El-Moutaraji;Remp.;44;;1;
2020/21;2021-04-10;Phase de poules;Petro Luanda;Domicile;S. El Moudane;Remp.;19;;1;
2020/21;2021-04-10;Phase de poules;Petro Luanda;Domicile;M. Rahim;Remp.;9;;;
