Saison;DateMatch;Journee;Equipe;Competition;Lieu;Score
1960-61;;;Maghreb Association Sportive;Championnat;Domicile;2-0
1960-61;;;Kawkab Athletic Club de Marrakech;Championnat;Domicile;2-2
1960-61;;;Mouloudia Club Oujda;Championnat;Domicile;0-0
1960-61;;;Raja Club Athletic;Championnat;Domicile;0-0
1960-61;;;Racing Athletic Club;Championnat;Domicile;1-2
1960-61;;;Maghreb Athletic Tetouan;Championnat;Domicile;1-0
1960-61;;;Etoile Jeunesse Sportive Casablanca;Championnat;Domicile;1-1
1960-61;;;Kenitra Athletic Club;Championnat;Domicile;3-0
1960-61;;;Tihad Athletic Sport;Championnat;Domicile;0-1
1960-61;;;Hassania Union Sport Agadir;Championnat;Domicile;5-0
1960-61;;;Chabab Larache;Championnat;Domicile;2-0
1960-61;;;Fath Union Sport;Championnat;Domicile;1-1
1960-61;;;Maghreb Athletic Tetouan;Championnat;Exterieur;2-1
1960-61;;;Etoile Jeunesse Sportive Casablanca;Championnat;Exterieur;2-2
1960-61;;;Kenitra Athletic Club;Championnat;Exterieur;1-0
1960-61;;;Tihad Athletic Sport;Championnat;Exterieur;1-0
1960-61;;;Hassania Union Sport Agadir;Championnat;Exterieur;2-4
1960-61;;;Chabab Larache;Championnat;Exterieur;0-2
1960-61;;;Fath Union Sport;Championnat;Exterieur;1-2
1961-62;;;Forces Armees Royales;Championnat;Exterieur;2-1
1961-62;;;Racing Athletic Club;Championnat;Exterieur;0-1
1961-62;;;Mouloudia Club Oujda;Championnat;Exterieur;0-1
1961-62;;;Maghreb Association Sportive;Championnat;Exterieur;0-1
1961-62;;;Kawkab Athletic Club de Marrakech;Championnat;Exterieur;4-2
1961-62;;;Forces Armees Royales;Championnat;Domicile;1-2
1961-62;;;Racing Athletic Club;Championnat;Domicile;2-0
1961-62;;;Mouloudia Club Oujda;Championnat;Domicile;2-2
1961-62;;;Maghreb Association Sportive;Championnat;Domicile;0-0
1961-62;;;Kawkab Athletic Club de Marrakech;Championnat;Domicile;2-1
1961-62;;;Raja Club Athletic;Championnat;Domicile;0-1
1961-62;;;Maghreb Athletic Tetouan;Championnat;Domicile;0-0
1961-62;;;Kenitra Athletic Club;Championnat;Domicile;2-1
1961-62;;;Stade Marocain;Championnat;Domicile;1-0
1961-62;;;Hassania Union Sport Agadir;Championnat;Domicile;1-3
1961-62;;;Sporting Club Chabab de Mohammedia;Championnat;Domicile;1-1
1961-62;;;Etoile Jeunesse Sportive Casablanca;Championnat;Domicile;2-1
1961-62;;;Tihad Athletic Sport;Championnat;Domicile;1-0
1961-62;;;Raja Club Athletic;Championnat;Exterieur;1-0
1961-62;;;Maghreb Athletic Tetouan;Championnat;Exterieur;0-0
1961-62;;;Kenitra Athletic Club;Championnat;Exterieur;1-0
1961-62;;;Stade Marocain;Championnat;Exterieur;1-3
1961-62;;;Hassania Union Sport Agadir;Championnat;Exterieur;0-1
1961-62;;;Sporting Club Chabab de Mohammedia;Championnat;Exterieur;1-1
1961-62;;;Etoile Jeunesse Sportive Casablanca;Championnat;Exterieur;2-1
1961-62;;;Tihad Athletic Sport;Championnat;Exterieur;2-2
1962-63;;;Forces Armees Royales;Championnat;Exterieur;0-0
1962-63;;;Kawkab Athletic Club de Marrakech;Championnat;Exterieur;0-1
1962-63;;;Raja Club Athletic;Championnat;Exterieur;1-1
1962-63;;;Maghreb Association Sportive;Championnat;Exterieur;0-1
1962-63;;;Kenitra Athletic Club;Championnat;Exterieur;0-0
1962-63;;;Forces Armees Royales;Championnat;Domicile;1-1
1962-63;;;Kawkab Athletic Club de Marrakech;Championnat;Domicile;2-2
1962-63;;;Raja Club Athletic;Championnat;Domicile;0-1
1962-63;;;Maghreb Association Sportive;Championnat;Domicile;0-1
1962-63;;;Kenitra Athletic Club;Championnat;Domicile;2-0
1962-63;;;Racing Athletic Club;Championnat;Domicile;2-0
1962-63;;;Stade Marocain;Championnat;Domicile;1-0
1962-63;;;Hassania Union Sport Agadir;Championnat;Domicile;2-1
1962-63;;;Sporting Club Chabab de Mohammedia;Championnat;Domicile;0-1
1962-63;;;Fath Union Sport;Championnat;Domicile;3-1
1962-63;;;Mouloudia Club Oujda;Championnat;Domicile;2-1
1962-63;;;Maghreb Athletic Tetouan;Championnat;Domicile;0-0
1962-63;;;Ittihad Riadi de Tanger;Championnat;Domicile;2-1
1962-63;;;Racing Athletic Club;Championnat;Exterieur;2-0
1962-63;;;Stade Marocain;Championnat;Exterieur;0-1
1962-63;;;Hassania Union Sport Agadir;Championnat;Exterieur;0-1
1962-63;;;Sporting Club Chabab de Mohammedia;Championnat;Exterieur;2-1
1962-63;;;Fath Union Sport;Championnat;Exterieur;1-2
1962-63;;;Mouloudia Club Oujda;Championnat;Exterieur;1-2
1962-63;;;Maghreb Athletic Tetouan;Championnat;Exterieur;1-1
1962-63;;;Ittihad Riadi de Tanger;Championnat;Exterieur;1-1
1963-64;;;Forces Armees Royales;Championnat;Exterieur;0-0
1963-64;;;Stade Marocain;Championnat;Exterieur;0-1
